
1	1	ESPRESSO	HOT	1	2.50	2.50	0.38	2.13	1	Jan 19 2021
2	2	AMERICANO	ICE	2	3.00	6.00	0.90	5.10	2	Jan 19 2021
3	3	CAPUCHINO	ICE	3	3.50	10.50	1.57	8.93	1	Jan 19 2021
5	1	ESPRESSO	HOT	1	2.50	2.50	0.38	2.13	1	Jan 19 2021
6	1	ESPRESSO	HOT	1	2.50	2.50	0.38	2.13	1	Jan 19 2021
7	1	ESPRESSO	HOT	1	2.50	2.50	0.38	2.13	1	Jan 20 2021
8	1	ESPRESSO	HOT	1	2.50	2.50	0.38	2.13	1	Jan 20 2021
9	1	ESPRESSO	ICE	1	2.50	2.50	0.38	2.13	1	Jan 20 2021
10	1	ESPRESSO	FRAPPE	1	3.00	3.00	0.45	2.55	2	Jan 20 2021
11	1	ESPRESSO	HOT	1	2.50	2.50	0.38	2.13	1	Jan 20 2021
12	2	AMERICANO	ICE	1	2.75	2.75	0.41	2.34	1	Jan 20 2021
13	1	ESPRESSO	HOT	1	2.50	2.50	0.38	2.13	1	Jan 20 2021
14	3	CAPUCHINO	FRAPPE	1	3.50	3.50	0.00	3.50	2	Jan 20 2021
15	4	LATTE	HOT	1	2.25	2.25	0.34	1.91	1	Jan 21 2021
16	1	ESPRESSO	HOT	1	1.75	1.75	0.00	1.75	1	Jan 21 2021
17	7	ROMANO	FRAPPE	1	2.75	2.75	0.41	2.34	2	Jan 21 2021
18	5	MOCHA	HOT	1	2.75	2.75	0.41	2.34	1	Jan 21 2021
19	4	LATTE	FRAPPE	1	2.50	2.50	0.38	2.13	2	Jan 21 2021
20	1	ESPRESSO	HOT	1	1.75	1.75	0.26	1.49	1	Jan 21 2021
21	10	CHOCOLATE_MILK	HOT	1	2.50	2.50	0.38	2.13	2	Jan 21 2021
22	8	MEAD_RAF	HOT	1	3.00	3.00	0.45	2.55	1	Jan 21 2021
23	10	CHOCOLATE_MILK	FRAPPE	1	2.75	2.75	0.41	2.34	1	Jan 26 2021
24	1	ESPRESSO	HOT	1	1.75	1.75	0.00	1.75	1	Jan 26 2021
25	5	MOCHA	ICE	2	2.75	5.50	0.82	4.68	2	Jan 26 2021
